"Diagnostic","Diagnose"
"Configuration","Konfiguration"
"Path","Pfad"
"Rewrite Class","Überschreibende Klasse"
"Active Class","Aktive Klasse"
"Ok","OK"
"Not Ok","Nicht Ok"
"Check Rewrites","Überprüfe Rewrites"
"Check Events","Überprüfe Events"
"Check System","Überprüfe System"
"Config Settings","Systemeinstellungen"
"System Check","System Überprüfung"
"<strong>Your server does not meet the following requirements in order to install Magento.</strong>","<strong>Ihr Server erfüllt leider nicht alle Anforderungen von Magento.</strong>"
"The following requirements failed, please contact your hosting provider in order to receive assistance with meeting the system requirements for Magento:","Die folgenden Anforderungen wurden leider nicht erfüllt. Bitte kontaktieren Sie Ihren Hosting Provider um Unterstützung für das Erreichen der Anforderungen zu bekommen:"
"The following requirements were successfully met:","Die folgenden Anforderungen wurden erfolgreich erfüllt:"
"<strong>Congratulations!</strong> Your server meets the requirements for Magento.","<strong>Herlichen Glückwunsch!</strong> Ihr Server erfüllt alle Anforderungen von Magento."
"Current Magento Version","Aktuelle Magento Version"
"All Indizes up-to-date?","Sind alle Indizes aktuell?"
"Caches active?","Cache aktiviert?"
"Seconds","Sekunden"
"Recommended is a execution time of min. %s seconds","Empfohlen ist eine Execution Time von mindestens %s Sekunden"
"Recommended is a memory limit of %s","Empfohlen ist ein Memory Limit von %s"
"%s caches active, %s caches inactive","%s Caches aktiviert, %s Caches deaktiviert"
"Disabled","Deaktiviert"
"Yes","Ja"
"No","Nein"
"%s indexes are ready, %s indexes are working, %s indexes need reindex","%s Indizes sind aktuell, %s Indizes indizieren gerade, %s Indizes sollten neu indiziert werden"
"About FireGento","Über FireGento"
"Path exists","Pfad existiert"
"config.xml exists","config.xml existiert"
"Active","Aktiv"
"True","aktiviert"
"False","deaktiviert"
"Module Name","Modulname"
"Check Modules","Überprüfe Module"
"Module Dependencies","Modul Abhängigkeiten"
"Select Log File","Log-Datei auswählen"
"Please Select","Bitte wählen"
"There are no log files available yet. Please make sure that logging is enabled.","Es sind bis jetzt keine Log-Dateien vorhanden. Bitte stellen Sie sicher, dass das Logging aktiviert ist."
"Log Settings","Log Einstellungen"
"FIREGENTO Log File Name","FIREGENTO Log Dateiname"
"File is located in {{base_dir}}/var/log","Datei befindet sich in {{base_dir}}/var/log"
"Force Logging","Logging erzwingen"
"Force logging even if the Magento setting is "no"?","Logging erzwingen auch wenn die Magento-Einstellung auf "nein" ist?"
"Enable ChromePhp","ChromePhp aktivieren"
"<strong>Important:</strong> Requires PHP 5.0 or higher!<br />Chrome-Addon: https://chrome.google.com/webstore/detail/chromephp/noaneddfkdjfnfdakjjmocngnfkfehhd","<strong>Wichtig:</strong> Benötigt PHP 5.0 oder höher!<br />Chrome-Addon: https://chrome.google.com/webstore/detail/chromephp/noaneddfkdjfnfdakjjmocngnfkfehhd"
"Enable FireLogger","FireLogger aktivieren"
"<strong>Important:</strong> Requires PHP 5.3 or higher!<br />Firefox-Addon: http://firelogger.binaryage.com/#php","<strong>Wichtig:</strong> Benötigt PHP 5.3 oder höher!<br />Firefox-Addon: http://firelogger.binaryage.com/#php"
"Enable FirePHP","FirePHP aktivieren"
"<strong>Important:</strong> Requires PHP 5.0 or higher!<br />Firefox-Addon: https://addons.mozilla.org/en-US/firefox/addon/firephp/","<strong>Wichtig:</strong> Benötigt PHP 5.0 oder höher!<br />Firefox-Addon: https://addons.mozilla.org/en-US/firefox/addon/firephp/"

"Activate/Deactivate","Aktivieren/Deaktivieren"
"Activate","Aktivieren"
"Deactivate","Deaktivieren"
"The module ""%s"" has been successfully activated.","Das Modul ""%s"" wurde erfolgreich aktiviert."
"The module ""%s"" has been successfully deactivated.","Das Modul ""%s"" wurde erfolgreich deaktiviert."
"File %s is not writable.","Die Datei %s ist nicht beschreibbar."
"Module %s is probably not installed. File %s does not exist.","Modul %s ist vermutlich nicht installiert. Datei %s existiert nicht."
"Module can\'t be deactivated because it is a dependency of another module which is still active.","Modul kann leider nicht deaktiviert werden, da es eine Abhängigkeit von einem anderen Modul ist, welches noch aktiviert ist."

"Magento Info","Magento Info"
"PHP Info","PHP Info"
"MySQL Info","MySQL Info"
"Server Info","Server Info"
"System Requirements","System-Voraussetzungen"
"Requirement","Voraussetzung"
"Recommended Value","Empfohlener Wert"
"Current Value","Aktueller Wert"

"Edition:","Edition:"
"Version:","Version:"
"Developer Mode:","Entwicklermodus:"
"Add Secret Key to URLs:","Secret-Key zu URLs hinzufügen:"
"Use Flat Catalog Category:","Flat Catalog Category verwenden"
"Use Flat Catalog Product:","Flat Catalog Product verwenden"
"Cache status:","Cache Status:"
"Index status:","Index Status:"
"Server API:","Server API:"
"Memory Limit:","Memory Limit:"
"Max. Execution Time:","Max. Execution Time:"
"Database Name:","Datenbank Name:"
"Database Tables:","Anzahl Datenbank-Tabellen:"
"Database Table Prefix:","Datenbank Tabellen-Prefix:"
"Connection Timeout:","Connection Timeout:"
"Wait Timeout:","Wait Timeout:"
"Info:","Info:"
"Domain:","Domain:"
"Server IP:","Server IP:"
"Server Directory:","Verzeichnis auf Server:"
