"Diagnostic","Diagnostique"
"Configuration","Configuration"
"Path","Path"
"Rewrite Class","Class Re-ecrite"
"Active Class","Class Active"
"Ok","Ok"
"Not Ok","KO"
"Check Rewrites","Vérifier les Re-ecritures"
"Check Events","Vérifier les Evénements"
"Check System","Vérifier le Système"
"Config Settings","Configuration"
"System Check","System Check"
"<strong>Your server does not meet the following requirements in order to install Magento.</strong>","<strong>Votre serveur ne remplis pas les conditions suivantes pour installer Magento.</strong>"
"The following requirements failed, please contact your hosting provider in order to receive assistance with meeting the system requirements for Magento:","Les conditions suivantes ne sont pas remplies, merci de contacter votre hebergeur pour vous assister à mettre votre environnement pour les besoins de Magento:"
"The following requirements were successfully met:",Les conditions suivantes ont été remplies avec succès:"
"<strong>Congratulations!</strong> Your server meets the requirements for Magento.","<strong>Félicitations!</strong> Votre serveur répond aux exigences de Magento."
"Current Magento Version","Version actuelle de Magento"
"All Indizes up-to-date?","Tous les indicateurs sont-ils à jour?"
"Caches active?","Le cache est-il activé?"
"Seconds","Secondes"
"Recommended is a execution time of min. %s seconds","Le temps d'exécution minimum recommandé est de: %s seconds"
"Recommended is a memory limit of %s","La limite mémoire recommandée est de %s"
"%s caches active, %s caches inactive","%s cache(s) actif(s), %s cache(s) inactif(s)"
"Disabled","Désactivé"
"Yes","Oui"
"No","Non"
"%s indexes are ready, %s indexes are working, %s indexes need reindex","%s indexes sont prêts, %s indexes en cours, %s indexes doivent être mis à jour"
"About FireGento","Au sujet de FireGento"
"Path exists","Chemin existe"
"config.xml exists","config.xml existe"
"Active","Actif"
"True","Vrai"
"False","Faux"
"Module Name","Non du Module"
"Check Modules","Vérifier les Modules"
"Module Dependencies","Dépendances du Module"
"Select Log File","Selectionnez un fichier de Log"
"Please Select","Selectionnez"
"There are no log files available yet. Please make sure that logging is enabled.","Il n'y a pas encore de fichiers de log disponibles. Merci de vous assurer que les logs sont activés."
"Log Settings","Paramètrage des logs"
"FIREGENTO Log File Name","Fichier de log Firegento"
"File is located in {{base_dir}}/var/log","Le Fichier est dans {{base_dir}}/var/log"
"Force Logging","Forcer les logs"
"Force logging even if the Magento setting is "no"?","Forcer les logs même si le paramètrage Magento est à "no"?"
"Enable ChromePhp","Activer ChromePhp"
"<strong>Important:</strong> Requires PHP 5.0 or higher!<br />Chrome-Addon: https://chrome.google.com/webstore/detail/chromephp/noaneddfkdjfnfdakjjmocngnfkfehhd","<strong>Important:</strong> Necessite PHP 5.0 ou supérieur!<br />Chrome-Addon: https://chrome.google.com/webstore/detail/chromephp/noaneddfkdjfnfdakjjmocngnfkfehhd"
"Enable FireLogger","Activer FireLogger"
"<strong>Important:</strong> Requires PHP 5.3 or higher!<br />Firefox-Addon: http://firelogger.binaryage.com/#php","<strong>Important:</strong> Necessite PHP 5.3 ou supérieur!<br />Firefox-Addon: http://firelogger.binaryage.com/#php"
"Enable FirePHP","Activer FirePHP"
"<strong>Important:</strong> Requires PHP 5.0 or higher!<br />Firefox-Addon: https://addons.mozilla.org/en-US/firefox/addon/firephp/","<strong>Important:</strong> Necessite PHP 5.0 ou supérieur!<br />Firefox-Addon: https://addons.mozilla.org/en-US/firefox/addon/firephp/"
